apps/dataent/dataent/utils/password_strength.py +108,"Repeats like ""abcabcabc"" are only slightly harder to guess than ""abc""","Gentagelse som ""abcabcabc"" er kun lidt sværere at gætte end ""abc"""
DocType: Notification,Channel,Kanal
apps/dataent/dataent/templates/emails/administrator_logged_in.html +3,"If you think this is unauthorized, please change the Administrator password.","Hvis du synes, det er uberettiget, skal du ændre administratoradgangskoden."
apps/dataent/dataent/email/doctype/email_account/email_account.py +80,{0} is mandatory,{0} er obligatorisk
DocType: Workflow State,eject,skubbe
apps/dataent/dataent/public/js/legacy/client_script_helpers.js +300,Field {0} not found.,Felt {0} ikke fundet.
DocType: Chat Room,Owner,Ejer
DocType: Communication,Visit,Besøg
DocType: LDAP Settings,LDAP Search String,LDAP-søgning String
DocType: Translation,Translation,Oversættelse
apps/dataent/dataent/desk/page/setup_wizard/install_fixtures.py +16,Mr,Hr.
DocType: Custom Script,Client,Klient
apps/dataent/dataent/public/js/dataent/views/reports/report_view.js +214,Select Column,Vælg kolonne
apps/dataent/dataent/public/js/legacy/form.js +476,This form has been modified after you have loaded it,"Denne formular er blevet ændret, efter at du har indlæst det"
DocType: User Permission for Page and Report,User Permission for Page and Report,Brugertilladelse til side og rapport
DocType: Address,Himachal Pradesh,Himachal Pradesh
DocType: System Settings,"If not set, the currency precision will depend on number format","Hvis ikke angivet, afhænger valutaens præcision af nummerformatet"
apps/dataent/dataent/integrations/doctype/stripe_settings/stripe_settings.py +72,"It seems that there is an issue with the server's stripe configuration. In case of failure, the amount will get refunded to your account.",Det ser ud som om der er et problem med serverens stribekonfiguration. I tilfælde af fejl bliver beløbet refunderet til din konto.
DocType: Data Import,Import Log,Import-log
apps/dataent/dataent/config/website.py +27,Embed image slideshows in website pages.,Integrér billedeslideshows i hjemmesider.
apps/dataent/dataent/email/doctype/newsletter/newsletter.js +9,Send,Send
DocType: Workflow Action Master,Workflow Action Name,Workflow Action Name
apps/dataent/dataent/core/doctype/doctype/doctype.py +342,DocType can not be merged,DocType kan ikke flettes
DocType: Web Form Field,Fieldtype,FieldType
apps/dataent/dataent/core/doctype/file/file.py +270,Not a zip file,Ikke en zip-fil
DocType: Auto Repeat,"To add dynamic subject, use jinja tags like

<div><pre><code>New {{ doc.doctype }} #{{ doc.name }}</code></pre></div>",For at tilføje dynamisk emne skal du bruge jinja tags som <div><pre> <code>New {{ doc.doctype }} #{{ doc.name }}</code> </pre> </div>
apps/dataent/dataent/public/js/dataent/form/save.js +147,"Mandatory fields required in table {0}, Row {1}","Obligatoriske felter, der kræves i tabel {0}, Row {1}"
apps/dataent/dataent/utils/password_strength.py +196,Capitalization doesn't help very much.,Aktivering hjælper ikke meget.
DocType: Error Snapshot,Friendly Title,Venlig titel
DocType: Newsletter,Email Sent?,E-mail sendt?
apps/dataent/dataent/public/js/dataent/views/reports/report_view.js +966,Toggle Chart,Skift diagram
apps/dataent/dataent/desk/form/save.py +50,Did not cancel,Ikke annullere
DocType: Social Login Key,Client Information,Kundeinformation
DocType: Workflow State,plus,plus
apps/dataent/dataent/integrations/oauth2.py +118,Logged in as Guest or Administrator,Logget ind som gæst eller administrator
DocType: Email Account,UNSEEN,SES
apps/dataent/dataent/public/js/dataent/views/file/file_view.js +38,File Manager,Filadministrator
DocType: GCalendar Account,Refresh Token,Opdater Token
DocType: Address,Goa,Goa
DocType: Webhook,Doc Event,Doc Event
apps/dataent/dataent/public/js/dataent/misc/user.js +58,You,Du
DocType: Braintree Settings,Braintree Settings,Braintree Indstillinger
DocType: Website Theme,lowercase,små bogstaver
apps/dataent/dataent/public/js/dataent/list/list_filter.js +22,Save Filter,Gem filter
DocType: Print Format,Helvetica,Helvetica
apps/dataent/dataent/public/js/dataent/list/bulk_operations.js +82,Cannot delete {0},Kan ikke slette {0}
apps/dataent/dataent/public/js/dataent/ui/filters/edit_filter.html +20,Not Ancestors Of,Ikke forældre af
DocType: Address,Jharkhand,Jharkhand
apps/dataent/dataent/email/doctype/newsletter/newsletter.py +40,Newsletter has already been sent,Nyhedsbrev er allerede blevet sendt
apps/dataent/dataent/twofactor.py +129,"Login session expired, refresh page to retry","Login session udløbet, opdater siden for at prøve igen"
DocType: Communication,BCC,BCC
DocType: Unhandled Email,Reason,Årsag
DocType: Email Unsubscribe,Email Unsubscribe,Email Afmeld
DocType: Website Settings,Select an image of approx width 150px with a transparent background for best results.,Vælg et billede med en ca. bredde på 150px med en gennemsigtig baggrund for det bedste resultat.
apps/dataent/dataent/www/third_party_apps.html +3,Third Party Apps,Tredjeparts apps
apps/dataent/dataent/desk/page/setup_wizard/setup_wizard.js +426,The first user will become the System Manager (you can change this later).,Den første bruger bliver System Manager (du kan ændre dette senere).
apps/dataent/dataent/integrations/doctype/webhook/webhook.py +29,DocType must be Submittable for the selected Doc Event,DocType skal være Submitterable for den valgte Doc Event
,App Installer,App Installer
DocType: Workflow State,circle-arrow-up,cirkel-pil-up
DocType: Email Domain,Email Domain,E-mail domæne
DocType: Workflow State,italic,kursiv
apps/dataent/dataent/core/doctype/doctype/doctype.py +806,{0}: Cannot set Import without Create,{0}: Kan ikke sætte Import uden Opret
DocType: SMS Settings,Enter url parameter for message,Indtast url parameter for besked
apps/dataent/dataent/templates/emails/auto_email_report.html +50,View report in your browser,Se rapport i din browser
apps/dataent/dataent/config/desk.py +26,Event and other calendars.,Arrangementet og andre kalendere.
apps/dataent/dataent/templates/includes/comments/comments.html +96,All fields are necessary to submit the comment.,Alle felter er nødvendige for at indsende kommentaren.
DocType: Print Settings,Printer Name,Printernavn
apps/dataent/dataent/public/js/dataent/views/reports/reportview.js +865,Drag to sort columns,Træk for at sortere kolonner
apps/dataent/dataent/printing/page/print_format_builder/print_format_builder_column_selector.html +2,Widths can be set in px or %.,Bredder kan indstilles i px eller%.
apps/dataent/dataent/public/js/dataent/form/print.js +102,Start,Start
DocType: Contact,First Name,Fornavn
DocType: LDAP Settings,LDAP Username Field,LDAP Brugernavn Field
DocType: Portal Settings,Standard Sidebar Menu,Standard Sidebar Menu
apps/dataent/dataent/core/doctype/file/file.py +184,Cannot delete Home and Attachments folders,Kan ikke slette Hjem og Tilbehør mapper
apps/dataent/dataent/config/desk.py +19,Files,Filer
apps/dataent/dataent/core/page/permission_manager/permission_manager_help.html +6,Permissions get applied on Users based on what Roles they are assigned.,"Tilladelser bliver anvendt på brugere baseret på, hvad Roller de er tildelt."
apps/dataent/dataent/public/js/dataent/views/communication.js +529,You are not allowed to send emails related to this document,Det er ikke tilladt at sende e-mails relateret til dette dokument
apps/dataent/dataent/model/db_query.py +593,Please select atleast 1 column from {0} to sort/group,Vælg atleast 1 kolonne fra {0} at sortere / gruppe
DocType: PayPal Settings,Check this if you are testing your payment using the Sandbox API,Markér dette hvis du tester din betaling ved hjælp af Sandbox API
apps/dataent/dataent/website/doctype/website_theme/website_theme.py +30,You are not allowed to delete a standard Website Theme,Du har ikke lov til at slette en standard hjemmeside tema
DocType: Data Import,Log Details,Log detaljer
DocType: Feedback Trigger,Example,Eksempel
DocType: Webhook Header,Webhook Header,Webhook Header
DocType: Print Settings,Print Server,Print Server
DocType: Workflow State,gift,gave
DocType: Workflow Action,Completed By,Færdiggjort af
apps/dataent/dataent/custom/doctype/customize_form/customize_form.js +240,Reqd,Reqd
apps/dataent/dataent/core/doctype/communication/email.py +293,Unable to find attachment {0},Kan ikke finde vedhæftet fil {0}
apps/dataent/dataent/custom/doctype/customize_form/customize_form.js +228,Assign a permission level to the field.,Tildele et tilladelsesniveau til feltet.
apps/dataent/dataent/core/page/permission_manager/permission_manager.py +91,Cannot Remove,Kan ikke fjerne
apps/dataent/dataent/public/js/dataent/request.js +109,The resource you are looking for is not available,"Den ressource, du leder efter er ikke tilgængelig"
DocType: Chat Profile,Chat Background,Chat baggrund
apps/dataent/dataent/core/doctype/communication/communication_list.js +14,Mark as Read,Marker som læst
apps/dataent/dataent/desk/doctype/bulk_update/bulk_update.py +54,Updating {0},Opdatering {0}
apps/dataent/dataent/core/doctype/report/report.js +37,Disable Report,Deaktiver rapport
DocType: Website Theme,Apply Text Styles,Anvend Teksttypografi
apps/dataent/dataent/www/feedback.html +34,Detailed feedback,detaljeret tilbagemeldinger
DocType: PayPal Settings,Redirect To,Omdirigér til
DocType: Data Migration Mapping,Pull,Trække
DocType: Report,JavaScript Format: dataent.query_reports['REPORTNAME'] = {},JavaScript Format: dataent.query_reports [&#39;rapportnavn&#39;] = {}
DocType: Bulk Update,Bulk Update,Bulk opdatering
DocType: Workflow State,chevron-up,chevron-up
DocType: DocType,Allow Guest to View,Tillad Gæst til visning
apps/dataent/dataent/public/js/dataent/ui/toolbar/navbar.html +65,Documentation,Dokumentation
DocType: Webhook,on_change,on_change
apps/dataent/dataent/public/js/dataent/list/list_view.js +985,Delete {0} items permanently?,Slet {0} varer permanent?
apps/dataent/dataent/core/doctype/user/user.py +106,Not Allowed,Ikke tilladt
DocType: DocShare,Internal record of document shares,Intern registrering af dokumenter aktier
DocType: Workflow State,Comment,Kommentar
DocType: Data Migration Plan,Postprocess Method,Efterprocesmetode
apps/dataent/dataent/public/js/dataent/ui/capture.js +196,Take Photo,Tag et billede
apps/dataent/dataent/core/page/permission_manager/permission_manager_help.html +17,"You can change Submitted documents by cancelling them and then, amending them.","Du kan ændre Indsendte dokumenter ved at annullere dem og derefter, om ændring af dem."
DocType: Data Import,Update records,Opdater poster
apps/dataent/dataent/data_migration/doctype/data_migration_connector/data_migration_connector.py +22,Invalid module path,Ugyldig modulsti
DocType: DocField,Display,Udstilling
DocType: Email Group,Total Subscribers,Total Abonnenter
apps/dataent/dataent/core/page/permission_manager/permission_manager_help.html +25,"If a Role does not have access at Level 0, then higher levels are meaningless.","Hvis en rolle ikke har adgang til niveau 0, så giver højere niveauer ingen mening."
apps/dataent/dataent/public/js/dataent/views/reports/reportview.js +749,Save As,Gem som
DocType: Communication,Seen,Set
apps/dataent/dataent/public/js/dataent/form/layout.js +162,Show more details,Vis flere detaljer
DocType: System Settings,Run scheduled jobs only if checked,"Kør planlagte job, hvis kontrolleret"
apps/dataent/dataent/printing/page/print_format_builder/print_format_builder.js +408,Will only be shown if section headings are enabled,"Vil kun blive vist, hvis afsnitsoverskrifter er aktiveret"
apps/dataent/dataent/public/js/dataent/views/kanban/kanban_column.html +9,Archive,Arkiv
apps/dataent/dataent/public/js/dataent/socketio_client.js +357,File Upload,Filoverførsel
DocType: Activity Log,Message,Besked
DocType: Communication,Rating,Bedømmelse
DocType: Customize Form Field,"Print Width of the field, if the field is a column in a table","Print Bredde af feltet, hvis feltet er en søjle i en tabel"
DocType: Dropbox Settings,Dropbox Access Key,Dropbox adgangsnøgle
apps/dataent/dataent/desk/form/utils.py +50,Wrong fieldname <b>{0}</b> in add_fetch configuration of custom script,Forkert feltnavn <b>{0}</b> i add_fetch konfiguration af brugerdefineret script
DocType: Workflow State,headphones,hovedtelefoner
apps/dataent/dataent/email/doctype/email_account/email_account.py +76,Password is required or select Awaiting Password,"Adgangskode er påkrævet, eller vælg afventer adgangskode"
DocType: Email Account,e.g. replies@yourcomany.com. All replies will come to this inbox.,f.eks replies@yourcomany.com. Alle svar vil komme til denne indbakke.
DocType: Slack Webhook URL,Slack Webhook URL,Slack Webhook URL
DocType: Data Migration Run,Current Mapping,Aktuel kortlægning
apps/dataent/dataent/templates/includes/login/login.js +39,Valid email and name required,Gyldig e-mail og navn påkrævet
DocType: DocType,Hide Heading,Skjul Overskrift
DocType: Address,Current,Nuværende
apps/dataent/dataent/config/core.py +17,Groups of DocTypes,Grupper af doctypes
apps/dataent/dataent/config/integrations.py +93,Google Maps integration,Integration med Google Maps
DocType: Auto Email Report,XLSX,XLSX
apps/dataent/dataent/templates/emails/password_reset.html +3,Reset your password,Nulstil din adgangskode
apps/dataent/dataent/public/js/dataent/views/calendar/calendar.js +150,Show Weekends,Vis weekender
DocType: Workflow State,remove-circle,fjern-cirkel
DocType: Help Article,Beginner,Begynder
DocType: Contact,Is Primary Contact,Er primær kontaktperson
apps/dataent/dataent/config/website.py +68,Javascript to append to the head section of the page.,Javascript for at tilføje til hovedet afsnit på siden.
apps/dataent/dataent/www/printview.py +80,Not allowed to print draft documents,Ikke tilladt at udskrive kladdedokumenter
apps/dataent/dataent/core/doctype/role_permission_for_page_and_report/role_permission_for_page_and_report.js +12,Reset to defaults,Nulstil til standardindstillinger
DocType: Workflow,Transition Rules,Overgangsregler
apps/dataent/dataent/core/doctype/report/report.js +11,Example:,Eksempel:
DocType: Workflow,Defines workflow states and rules for a document.,Definerer workflow stater og regler for et dokument.
DocType: Workflow State,Filter,Filter
apps/dataent/dataent/model/db_schema.py +596,Fieldname {0} cannot have special characters like {1},Feltnavn {0} kan ikke have specielle tegn som {1}
apps/dataent/dataent/config/setup.py +133,Update many values at one time.,Opdatering mange værdier på én gang.
apps/dataent/dataent/model/document.py +639,Error: Document has been modified after you have opened it,"Fejl: Dokument er blevet ændret, efter at du har åbnet det"
apps/dataent/dataent/core/doctype/activity_log/feed.py +56,{0} logged out: {1},{0} logget ud: {1}
DocType: Address,West Bengal,Vestbengalen
apps/dataent/dataent/core/doctype/doctype/doctype.py +825,{0}: Cannot set Assign Submit if not Submittable,"{0}: Kan ikke indstille tildeling - Indsend, hvis det ikke kan indsendes."
DocType: Transaction Log,Row Index,Rækkeindeks
DocType: Social Login Key,Facebook,Facebook
apps/dataent/dataent/www/list.py +41,"Filtered by ""{0}""",Filtreret efter &quot;{0}&quot;
DocType: Salutation,Administrator,Administrator
DocType: Activity Log,Closed,Lukket
DocType: Blog Settings,Blog Title,Blog Titel
apps/dataent/dataent/core/doctype/role/role.py +20,Standard roles cannot be disabled,Standard roller kan ikke deaktiveres
apps/dataent/dataent/public/js/dataent/chat.js +1603,Chat Type,Chat Type
DocType: Address,Mizoram,Mizoram
DocType: Newsletter,Newsletter,Nyhedsbrev
apps/dataent/dataent/model/db_query.py +584,Cannot use sub-query in order by,Kan ikke bruge sub-forespørgsel i rækkefølge efter
DocType: Web Form,Button Help,Knappen Hjælp
DocType: Kanban Board Column,purple,lilla
DocType: About Us Settings,Team Members,Team Medlemmer
apps/dataent/dataent/public/js/dataent/upload.js +246,Please attach a file or set a URL,Vedhæft en fil eller angiv en URL
DocType: Chat Message,System Manager,System Manager
DocType: Custom DocPerm,Permissions,Tilladelser
apps/dataent/dataent/config/integrations.py +83,Slack Webhooks for internal integration,Slack Webhooks til intern integration
DocType: Dropbox Settings,Allow Dropbox Access,Tillad Dropbox Access
apps/dataent/dataent/core/doctype/deleted_document/deleted_document.js +11,Restore,Gendan
DocType: Auto Repeat,Auto Repeat,Automatisk gentagelse
DocType: Bulk Update,"SQL Conditions. Example: status=""Open""",SQL Betingelser. Eksempel: status = &quot;Åbn&quot;
DocType: User,Get your globally recognized avatar from Gravatar.com,Få din globalt anerkendt avatar fra Gravatar.com
apps/dataent/dataent/limits.py +32,"Your subscription expired on {0}. To renew, {1}.","Dit abonnement udløb den {0}. For at forny, {1}."
DocType: Workflow State,plus-sign,plus-tegnet
apps/dataent/dataent/__init__.py +994,App {0} is not installed,App {0} er ikke installeret
DocType: Data Migration Plan,Mappings,tilknytninger
DocType: Notification Recipient,Notification Recipient,Meddelelsesmodtager
DocType: Workflow State,Refresh,Opdater
DocType: Event,Public,Offentlig
apps/dataent/dataent/public/js/dataent/views/reports/query_report.js +703,Nothing to show,Intet at vise
DocType: System Settings,Enable Two Factor Auth,Aktivér to faktorauth
apps/dataent/dataent/desk/doctype/auto_repeat/auto_repeat.py +294,[Urgent] Error while creating recurring %s for %s,[Urgent] Fejl under oprettelse af tilbagevendende% s for% s
apps/dataent/dataent/public/js/dataent/model/model.js +24,Liked By,Ønsket af
DocType: DocField,Print Hide If No Value,Udskriv Skjul Hvis Nej Værdi
DocType: Kanban Board Column,yellow,gul
apps/dataent/dataent/core/doctype/doctype/doctype.py +659,Is Published Field must be a valid fieldname,Er Udgivet Field skal være en gyldig fieldname
apps/dataent/dataent/public/js/dataent/upload.js +26,Upload Attachment,Upload Attachment
DocType: Block Module,Block Module,Block Module
apps/dataent/dataent/core/doctype/version/version_view.html +14,New Value,Ny værdi
apps/dataent/dataent/public/js/dataent/views/reports/reportview.js +513,No permission to edit,Ingen tilladelse til at redigere
apps/dataent/dataent/public/js/dataent/views/kanban/kanban_board.html +4,Add a column,Tilføj en kolonne
apps/dataent/dataent/www/contact.html +34,Your email address,Din e-mail-adresse
DocType: Desktop Icon,Module,Modul
DocType: Notification,Send Alert On,Send Alert On
DocType: Customize Form,"Customize Label, Print Hide, Default etc.","Tilpas Label, Print Skjul, Standard etc."
apps/dataent/dataent/core/doctype/communication/communication.py +83,Please make sure the Reference Communication Docs are not circularly linked.,"Sørg for, at referencekommunikationsdokumenterne ikke er cirkulært forbundet."
apps/dataent/dataent/printing/page/print_format_builder/print_format_builder_start.html +16,Create a New Format,Opret et nyt format
apps/dataent/dataent/integrations/doctype/s3_backup_settings/s3_backup_settings.py +39,Unable to create bucket: {0}. Change it to a more unique name.,Kunne ikke oprette bucket: {0}. Skift det til et mere unikt navn.
DocType: Webhook,Request URL,Anmodning URL
DocType: Customize Form,Is Table,er Table
apps/dataent/dataent/core/doctype/user_permission/user_permission.js +70,Apply User Permission for following DocTypes,Anvend brugertilladelse til følgende doktypes
DocType: Email Account,Total number of emails to sync in initial sync process ,"Samlet antal e-mails, der skal synkroniseres i indledende synkronisering proces"
DocType: Website Settings,Set Banner from Image,Set Banner fra Billede
apps/dataent/dataent/public/js/dataent/ui/toolbar/search.js +359,Global Search,Global søgning
DocType: Email Account,SparkPost,SparkPost
